,pred,true
751,VISrl,CA3
752,DG,VISrl
753,VISal,VISal
754,CA1,VISam
755,grey,grey
756,grey,grey
757,VISam,VISli
758,VPM,DG
759,CA1,CA1
760,grey,grey
761,DG,DG
762,CA1,VISp
763,CA1,CA1
764,LGd,LGd
765,CA1,CA1
766,DG,DG
767,APN,APN
768,LGd,LP
769,grey,grey
770,LP,TH
771,VISpm,LGv
772,CA1,VISam
773,ProS,ProS
774,DG,DG
775,LGd,LP
776,VISam,VISli
777,DG,DG
778,LP,LP
779,VISp,VISp
780,LP,LP
781,grey,grey
782,CA1,CA1
783,CA1,VIS
784,VISmma,VISmma
785,DG,VISrl
786,LGd,CA3
787,CA1,CA1
788,CA1,VISam
789,VISl,VIS
790,VISal,VISal
791,grey,CA3
792,DG,MB
793,VISp,VISp
794,SUB,SUB
795,VIS,LGd
796,VISp,VISam
797,VISal,VISal
798,DG,DG
799,CA1,VIS
800,CA1,CA1
801,LP,MGv
802,CA1,VISp
803,CA1,VISp
804,DG,VISal
805,VISl,VISl
806,DG,DG
807,VISal,POL
808,VISrl,APN
809,CA1,VISam
810,grey,grey
811,ProS,TH
812,DG,DG
813,APN,VISpm
814,VISal,DG
815,DG,DG
816,VISrl,APN
817,LGd,MGv
818,LGd,LGd
819,APN,VISpm
820,VISl,CA1
821,CA1,VISp
822,CA1,CA1
823,VISp,VISp
824,APN,APN
825,APN,VISrl
826,DG,DG
827,DG,DG
828,CA1,CA1
829,CA1,CA1
830,LP,LP
831,grey,grey
832,DG,DG
833,VIS,CA1
834,CA1,CA1
835,VIS,CA1
836,VISam,VISam
837,VISam,VISam
838,LP,CA3
839,grey,APN
840,CA3,MGd
841,APN,VISpm
842,CA1,CA1
843,CA1,CA1
844,VISpm,VISpm
845,DG,SGN
846,grey,grey
847,VISl,VISam
848,grey,grey
849,CA3,APN
850,VISam,CA1
851,grey,grey
852,VISl,VISl
853,DG,VISal
854,grey,LP
855,grey,grey
856,APN,VISrl
857,VISp,CA1
858,VISam,VISp
859,CA1,CA1
860,APN,APN
861,LGd,LGd
862,grey,LGd
863,VISp,VISp
864,DG,DG
865,VISrl,VISrl
866,APN,APN
867,NOT,SUB
868,CA3,grey
869,APN,VISal
870,grey,grey
871,VISrl,VISrl
872,VISp,VISp
873,CA3,CA3
874,CA1,VIS
875,DG,DG
876,DG,LGv
877,grey,grey
878,CA1,grey
879,VISp,CA1
880,VISal,DG
881,VISp,VISp
882,CA1,VIS
883,CA1,VISl
884,VISp,VISam
885,CA1,VISl
886,CA1,VISl
887,VISp,CA1
888,grey,LGd
889,VISp,VISmma
890,APN,TH
891,VIS,CA3
892,CA1,CA1
893,VISal,SGN
894,CA1,VISl
895,CA1,VIS
896,LGd,LGd
897,ProS,ProS
898,CA1,TH
899,CA1,VISl
900,NOT,SUB
901,CA1,CA1
902,grey,grey
903,VISam,CA1
904,DG,DG
905,CA1,CA1
906,CA1,CA1
907,DG,VISal
908,VIS,VISl
909,CA1,CA1
910,CA1,VIS
911,VISmma,VISp
912,grey,CA3
913,CA1,grey
914,DG,DG
915,grey,grey
916,CA1,VISam
917,grey,grey
918,grey,grey
919,CA1,VISrl
920,VISli,VISli
921,VISrl,APN
922,CA1,CA1
923,CA3,grey
924,grey,LGd
925,CA1,PO
926,CA1,VISl
927,grey,CA3
928,CA1,VISam
929,CA1,CA1
930,CA1,VISp
931,DG,DG
932,VISal,VISal
933,CA1,CA1
934,VISp,VISli
935,grey,VISpm
936,APN,CA3
937,VISrl,VISpm
938,CA1,CA1
939,CA3,VISrl
940,LGd,grey
941,LP,LP
942,VISp,VISam
943,VISl,SUB
944,VISal,VISal
945,CA1,LP
946,CA1,VISam
947,grey,grey
948,APN,APN
949,CA1,VISam
950,VIS,VISp
951,VISal,VISal
952,DG,DG
953,VISam,VISam
954,VIS,VISl
955,CA1,Eth
956,VISam,VISam
957,NOT,VISmma
958,DG,DG
959,VISam,VIS
960,grey,grey
961,CA1,CA1
962,CA1,VISam
963,grey,grey
964,APN,APN
965,VISp,CA1
966,CA1,VISp
967,DG,VISal
968,LP,LP
969,VISp,VISp
970,CA3,grey
971,CA3,grey
972,CA1,CA1
973,CA1,VISam
974,grey,grey
975,VISp,VISp
976,VISp,CA1
977,grey,CA3
978,CA1,VISl
979,CA1,VISl
980,grey,LGd
981,CA1,VIS
982,grey,grey
983,grey,grey
984,CA1,CA1
985,grey,grey
986,VISal,VISal
987,SUB,CA1
988,CA3,grey
989,VISam,VISp
990,APN,LP
991,DG,VISal
992,VISam,CA1
993,grey,PPT
994,CA1,VISam
995,VISal,VISal
996,VISrl,APN
997,VISal,VISal
998,LGd,grey
999,SUB,VISl
1000,VISam,TH
1001,CA1,VIS
1002,APN,grey
1003,APN,APN
1004,CA3,APN
1005,POL,POL
1006,LGd,LP
1007,CA1,VISp
1008,VISam,TH
1009,grey,grey
1010,CA1,CA1
1011,LGd,LP
1012,VISal,VISal
1013,grey,grey
1014,CA1,CA1
1015,VISal,VISal
1016,CA1,VIS
1017,VISrl,CA3
1018,SUB,SUB
1019,VISal,VISal
1020,CA1,VISp
1021,CA1,VISl
1022,VISp,VISp
1023,CA1,CA1
1024,CA1,Eth
1025,VISrl,VISrl
1026,CA1,VISp
1027,grey,grey
1028,LGd,APN
1029,VISal,VISal
1030,CA1,MGm
1031,DG,VISrl
1032,CA3,VISpm
1033,grey,grey
1034,VISam,TH
1035,CA1,VISp
1036,APN,DG
1037,CA1,VISam
1038,VISp,CA1
1039,DG,DG
1040,MB,MB
1041,grey,grey
1042,grey,APN
1043,grey,LP
1044,CA1,CA1
1045,VISpm,VISam
1046,CA1,VISam
1047,grey,VISpm
1048,MB,MB
1049,APN,VISpm
1050,VISp,VISp
1051,grey,grey
1052,grey,grey
1053,grey,grey
1054,CA1,SUB
1055,DG,DG
1056,VISal,VISal
1057,CA1,CA1
1058,VISal,VISal
1059,SCig,PO
1060,CA1,CA1
1061,grey,grey
1062,CA1,CA1
1063,APN,VISrl
1064,grey,grey
1065,CA1,CA1
1066,CA3,CA3
1067,CA1,VISmma
1068,VISli,MGm
1069,APN,APN
1070,VISam,VISam
1071,DG,DG
1072,ProS,ProS
1073,VISrl,VISrl
1074,CA3,LP
1075,VISl,CA1
1076,DG,DG
1077,CA1,CA1
1078,LP,VISl
1079,ProS,ProS
1080,grey,grey
1081,VISmma,VISmma
1082,grey,LP
1083,CA1,CA1
1084,LP,grey
1085,CA1,CA1
1086,CA1,CA1
1087,CA1,CA1
1088,CA1,CA1
1089,VIS,CA1
1090,grey,grey
1091,CA1,VISp
1092,ProS,ProS
1093,VIS,CA1
1094,grey,grey
1095,APN,APN
1096,grey,grey
1097,grey,grey
1098,VISmma,VISp
1099,LGd,DG
1100,VISrl,CA3
1101,CA1,CA1
1102,SUB,CA1
1103,DG,VISpm
1104,CA1,VISp
1105,VIS,CA1
1106,CA1,APN
1107,ProS,DG
1108,CA1,CA1
1109,CA3,CA3
1110,APN,VISrl
1111,VISpm,APN
1112,LP,LGd
1113,CA1,VISl
1114,CA1,VISp
1115,SGN,SGN
1116,APN,VISrl
1117,APN,grey
1118,LP,LGd
1119,CA1,VISl
1120,LGd,LGd
1121,CA1,VISp
1122,LGd,APN
1123,PO,PO
1124,CA1,VISam
1125,VISp,SUB
1126,VISpm,VISpm
1127,CA1,CA1
1128,VISp,VISp
1129,DG,DG
1130,CA1,VISp
1131,VISal,VISal
1132,CA1,CA1
1133,APN,VISrl
1134,CA1,CA1
1135,SUB,SCig
1136,grey,PPT
1137,APN,LP
1138,VISam,VISam
1139,VISal,VISal
1140,grey,grey
1141,CA1,VIS
1142,ProS,TH
1143,ProS,ProS
1144,VISal,VISal
1145,CA1,CA1
1146,ProS,ProS
1147,ProS,VISli
1148,DG,VISal
1149,CA1,CA1
1150,grey,CA3
1151,CA1,CA1
1152,DG,DG
1153,LP,MGv
1154,VISam,VISam
1155,VISam,MGd
1156,VISrl,grey
1157,CA1,CA1
1158,VISal,VISal
1159,CA1,CA1
1160,CA1,CA1
1161,VIS,CA1
1162,MGd,CA3
1163,CA1,VISp
1164,CA1,VISp
1165,CA1,CA1
1166,VIS,VIS
1167,APN,LP
1168,grey,CA3
1169,LGd,LGd
1170,CA1,CA1
1171,VISam,VISam
1172,CA1,VIS
1173,grey,APN
1174,VISam,VIS
1175,APN,VISpm
1176,grey,grey
1177,grey,APN
1178,CA1,VIS
1179,LP,LP
1180,PoT,grey
1181,VISrl,VISrl
1182,DG,DG
1183,CA3,VISl
1184,CA1,NOT
1185,DG,VISal
1186,CA1,OP
1187,VISp,VISam
1188,APN,VISpm
1189,VISrl,APN
1190,LP,DG
1191,ProS,ProS
1192,grey,CA3
1193,grey,grey
1194,VISp,CA1
1195,VISam,VISam
1196,CA1,CA1
1197,grey,grey
1198,LP,LP
1199,DG,DG
1200,CA1,VIS
1201,LGd,LP
1202,TH,PO
1203,APN,LP
1204,grey,grey
1205,CA1,grey
1206,VISp,SUB
1207,VISpm,APN
1208,grey,grey
1209,DG,DG
1210,VISp,SUB
1211,ProS,ProS
1212,APN,PO
1213,SUB,SUB
1214,VISrl,VISpm
1215,grey,PPT
1216,VISal,VISal
1217,VISl,VIS
1218,CA3,VISrl
1219,APN,APN
1220,LGd,VISrl
1221,CA1,VISl
1222,VIS,VISam
1223,CA1,CA1
1224,LGd,MGv
1225,CA3,VISpm
1226,APN,LP
1227,VISp,VISp
1228,LGd,APN
1229,CA1,VISl
1230,CA1,VISl
1231,LP,LP
1232,VISmma,CA1
1233,LGd,VISrl
1234,CA1,CA1
1235,APN,VISpm
1236,APN,DG
1237,VISam,VISam
1238,VISam,VISam
1239,LGd,LP
1240,DG,DG
1241,CA1,VISal
1242,VISmma,VISmma
1243,CA1,VISl
1244,CA1,CA1
1245,SUB,SUB
1246,APN,MB
1247,APN,VISrl
1248,DG,DG
1249,CA1,VISl
1250,CA1,VIS
1251,DG,DG
1252,LGd,LGd
1253,VISam,VISam
1254,APN,CA3
1255,VISam,VPM
1256,CA1,CA1
1257,APN,LP
1258,CA3,APN
1259,VISp,VISp
1260,CA1,VISl
1261,DG,DG
1262,CA1,CA1
1263,TH,grey
1264,VISp,CA1
1265,grey,Eth
1266,VISal,VISal
1267,CA1,VIS
1268,grey,grey
1269,CA1,VISam
1270,VISp,CA1
1271,grey,grey
1272,LGd,LP
1273,CA1,CA1
1274,APN,VISpm
1275,CA1,VISl
1276,grey,NOT
1277,CA1,VISp
1278,DG,DG
1279,CA1,VISam
1280,APN,VISpm
1281,VISp,VPM
1282,CA1,VIS
1283,APN,MB
1284,VISrl,VISpm
1285,CA1,VISp
1286,grey,LP
1287,VISrl,VISal
1288,VISal,VISal
1289,CA1,CA1
1290,LGd,LGd
1291,CA1,CA1
1292,CA1,CA1
1293,CA3,grey
1294,APN,APN
1295,VISp,VISam
1296,CA1,VISam
1297,CA3,VISpm
1298,CA1,VISl
1299,CA3,VISrl
1300,grey,grey
1301,VISp,VISp
1302,LGd,LGd
1303,VISrl,VISrl
1304,VISam,VISam
1305,CA1,CA1
1306,CA1,CA1
1307,VISp,VISp
1308,LGd,LGd
1309,grey,grey
1310,VISal,DG
1311,grey,grey
1312,DG,DG
1313,CA1,VISrl
1314,CA3,grey
1315,VISp,VISp
1316,CA1,CA1
1317,CA1,VISp
1318,CA1,CA1
1319,CA1,VISp
1320,CA1,CA1
1321,grey,grey
1322,CA1,VISp
1323,VISal,VISal
1324,VISp,CA1
1325,APN,APN
1326,VISp,VISp
1327,APN,VISpm
1328,CA1,VISmma
1329,VISp,VISp
1330,VISrl,APN
1331,APN,PO
1332,DG,DG
1333,VISam,CA1
1334,DG,VISrl
1335,CA1,CA1
1336,CA1,CA1
1337,CA1,VISam
1338,CA1,VISp
1339,LP,LP
1340,APN,grey
1341,VISrl,APN
1342,NOT,SUB
1343,VISpm,DG
1344,grey,grey
1345,VISl,CA1
1346,grey,PO
1347,grey,grey
1348,VISpm,VISrl
1349,CA1,SCig
1350,APN,CA3
1351,grey,LP
1352,grey,grey
1353,CA1,VIS
1354,CA1,CA1
1355,VISrl,DG
1356,CA1,VISam
1357,VISam,VISam
1358,VISli,MGd
1359,LP,APN
1360,DG,DG
1361,CA3,VISrl
1362,CA1,CA1
1363,grey,grey
1364,CA1,SUB
1365,DG,grey
1366,VISl,VIS
1367,grey,grey
1368,APN,VISrl
1369,VISrl,VISrl
1370,APN,DG
1371,CA1,VISam
1372,grey,grey
1373,DG,DG
1374,APN,APN
1375,APN,APN
1376,VISal,SGN
1377,grey,grey
1378,VISp,VISp
1379,CA3,grey
1380,CA1,SGN
1381,grey,VISpm
1382,grey,APN
1383,CA1,CA2
1384,CA1,VIS
1385,APN,MB
1386,CA1,CA1
1387,grey,VISpm
1388,DG,DG
1389,CA1,VISp
1390,CA1,VISp
1391,VISal,SGN
1392,VISam,VISam
1393,VISl,SUB
1394,grey,grey
1395,LGd,CA3
1396,VISal,VISal
1397,VISp,VISp
1398,APN,DG
1399,CA1,Eth
1400,grey,grey
1401,LGd,LGd
1402,VISal,VISal
1403,CA1,CA1
1404,CA1,VISam
1405,CA1,CA1
1406,MGd,MGd
1407,CA1,VISam
1408,CA1,CA1
1409,VISam,VIS
1410,VISp,APN
1411,DG,DG
1412,DG,DG
1413,APN,grey
1414,VISmma,VISmma
1415,APN,VIS
1416,CA1,CA1
1417,VISl,NOT
1418,CA1,CA1
1419,VISrl,APN
1420,CA3,VISp
1421,APN,VISpm
1422,SCig,SUB
1423,CA1,CA1
1424,CA1,CA1
1425,VIS,VIS
1426,ProS,ProS
1427,VISl,CA1
1428,grey,grey
1429,CA1,VISam
